4.1,3,2.2,1.5,10.1,1.7,7.1,5.4,6.3,11.1,1,0.9,5.6,8.5,2.9,4.6,10,5.1,8.9,5,4.1,6.3,8.1,2,1.4,4.4
20.3,3.8,14,10.1,17.3,18.9,12.1,7.2,10.9,13.5,14.4,9.3,17.9,17.9,5.4,10.9,21.6,24.4,32.9,22.5,14.8,12,8.3,8.3,11.6,8.7
3.9,1.9,2.9,2.9,13,3.1,8.1,3.2,6.6,11.2,0.3,0.2,2.8,8.1,2,6,11.5,8,11.2,9.2,1.8,7.7,5.1,0.4,1.6,2.7
3.3,2.4,4.5,2.1,8.7,9.6,12.4,8.8,11.1,7.3,0.5,0.1,2.3,9.8,6.2,4.9,7.9,13.7,15.3,12.8,2.9,7.7,3.8,0.1,0.3,2.9
6.3,1,7.6,5.3,9.8,6.6,2.7,2.6,6.1,6.2,6.8,1.2,6.7,6.1,2.1,4.4,21.8,10.8,13.5,7.7,8.8,5.9,5.1,2.1,2.8,2.1
0.4,2.7,1.9,3.4,2.6,4.1,7.6,2.4,9.3,2.9,1.7,1.8,5.1,1,4.1,5.9,9.4,11.1,5.3,0.8,5.2,2.5,1.4,1.3,1.2,11.2
1,6.9,5.4,18.7,12.8,7.4,7.7,11.4,7.5,2.9,1.8,8.4,5.3,3.4,8.5,23.3,24,20.3,14.8,14.8,10.5,7.1,1.2,4.3,3.7,17.7
1.1,1.4,1.5,8.9,7.9,13.5,8,11.7,12.6,1.7,0.1,3.3,6.8,4.4,5.5,7.1,9.2,18.1,21.8,4.8,8,6,0.1,0.7,3.5,10.1
3.7,4,2.2,4.8,2.4,3.4,4.4,5,8,3.7,2.5,4.3,7.1,2.1,4.4,13.2,7.9,8.5,5.9,2.3,8.8,5.8,2.9,2.1,2.9,2.8
7.1,2.4,5.2,5,15.2,11.3,9.5,12.1,8.2,6.2,1.9,1.2,5.9,5.6,2.9,6.6,7.7,18.2,17.2,13.6,4,4.9,4.4,0.2,4.4,2
0,0,0,2,2,19,25,23,5,0,0,0,0,0,0,1,6,13,26,21,16,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,3,19,23,23,6,0,0,0,0,0,0,2,5,13,27,22,15,1,0,0,0,0
0,0,0,0,4,17,23,18,2,0,0,0,0,0,0,0,5,10,20,19,9,0,0,0,0,0
0,0,0,1,2,16,24,26,5,0,0,0,0,0,0,2,6,12,23,21,13,0,0,0,0,0
0,0,0,0,16,25,22,5,0,0,0,0,0,0,0,4,10,23,19,16,0,0,0,0,0,0
0,0,0,2,13,23,22,4,0,0,0,0,0,0,0,6,9,21,18,14,0,0,0,0,0,0
0,0,2,9,18,24,22,6,0,0,0,0,0,0,0,8,16,27,24,13,0,0,0,0,0,0
0,0,2,3,19,27,22,5,0,0,0,0,0,0,0,6,15,24,24,16,0,0,0,0,0,0
0,0,0,2,6,17,24,21,2,0,0,0,0,0,0,0,4,9,22,18,12,0,0,0,0,0
